right_75, 338.0, 220.0
right_75, 343.0, 220.0
right_75, 348.0, 220.0
right_75, 353.0, 220.0
right_75, 358.0, 220.0
right_75, 363.0, 220.0
right_75, 368.0, 220.0
left_77, 331.0, 230.0
left_77, 326.0, 230.0
left_77, 321.0, 230.0
left_77, 316.0, 230.0
left_77, 311.0, 230.0
left_77, 306.0, 230.0
left_77, 301.0, 230.0
left_77, 296.0, 230.0
right_77, 296.0, 220.0
right_77, 301.0, 220.0
right_77, 306.0, 220.0
right_77, 311.0, 220.0
right_77, 316.0, 220.0
right_77, 321.0, 220.0
right_77, 326.0, 220.0
right_77, 331.0, 220.0
left_79, 294.0, 220.0
right_79, 294.0, 230.0
left_81, 294.0, 230.0
left_81, 289.0, 230.0
left_81, 284.0, 230.0
left_81, 279.0, 230.0
left_81, 274.0, 230.0
left_81, 269.0, 230.0
left_81, 269.0, 225.0
left_81, 269.0, 220.0
left_81, 269.0, 215.0
left_81, 269.0, 210.0
left_81, 269.0, 205.0
right_81, 284.0, 205.0
right_81, 284.0, 210.0
right_81, 284.0, 215.0
right_81, 284.0, 220.0
right_81, 289.0, 220.0
right_81, 294.0, 220.0
d0_83, 370.0, 220.0
d1_83, 375.0, 220.0
d283, 380.0, 220.0
d3_83, 385.0, 220.0
d4_83, 390.0, 220.0
d583, 395.0, 220.0
d6_83, 400.0, 220.0
d7_83, 405.0, 220.0
d8_83, 405.0, 230.0
d9_83, 400.0, 230.0
destinationGoal_83, 395.0, 230.0
d10_83, 390.0, 230.0
d11_83, 385.0, 230.0
d12_83, 380.0, 230.0
d13_83, 375.0, 230.0
d14_83, 370.0, 230.0
d15_83, 380.0, 245.0
d16_83, 380.0, 240.0
d17_83, 380.0, 235.0
d18_83, 380.0, 225.0
d19_83, 380.0, 215.0
d20_83, 380.0, 210.0
d21_83, 380.0, 205.0
d22_83, 395.0, 245.0
d23_83, 395.0, 240.0
d24_83, 395.0, 235.0
d25_83, 395.0, 225.0
d26_83, 395.0, 215.0
d27_83, 395.0, 210.0
d28_83, 395.0, 205.0
d0_85, 333.0, 40.0
d1_85, 338.0, 40.0
d285, 343.0, 40.0
d3_85, 348.0, 40.0
d4_85, 353.0, 40.0
d585, 358.0, 40.0
d6_85, 363.0, 40.0
d7_85, 368.0, 40.0
d8_85, 368.0, 50.0
d9_85, 363.0, 50.0
destinationGoal_85, 358.0, 50.0
d10_85, 353.0, 50.0
d11_85, 348.0, 50.0
d12_85, 343.0, 50.0
d13_85, 338.0, 50.0
d14_85, 333.0, 50.0
d15_85, 343.0, 65.0
d16_85, 343.0, 60.0
d17_85, 343.0, 55.0
d18_85, 343.0, 45.0
d19_85, 343.0, 35.0
d20_85, 343.0, 30.0
d21_85, 343.0, 25.0
d22_85, 358.0, 65.0
d23_85, 358.0, 60.0
d24_85, 358.0, 55.0
d25_85, 358.0, 45.0
d26_85, 358.0, 35.0
d27_85, 358.0, 30.0
d28_85, 358.0, 25.0
d0_87, 444.0, 130.0
d1_87, 449.0, 130.0
d287, 454.0, 130.0
d3_87, 459.0, 130.0
d4_87, 464.0, 130.0
d587, 469.0, 130.0
d6_87, 474.0, 130.0
d7_87, 479.0, 130.0
d8_87, 479.0, 140.0
d9_87, 474.0, 140.0
destinationGoal_87, 469.0, 140.0
d10_87, 464.0, 140.0
d11_87, 459.0, 140.0
d12_87, 454.0, 140.0
d13_87, 449.0, 140.0
d14_87, 444.0, 140.0
d15_87, 454.0, 155.0
d16_87, 454.0, 150.0
d17_87, 454.0, 145.0
d18_87, 454.0, 135.0
d19_87, 454.0, 125.0
d20_87, 454.0, 120.0
d21_87, 454.0, 115.0
d22_87, 469.0, 155.0
d23_87, 469.0, 150.0
d24_87, 469.0, 145.0
